PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821113,TEKNIK MATERIAL,6484,1769,62785,70898
UNIVERSITAS SEBELAS MARET,3531294,STATISTIKA,64549,1766,62728,72375
UNIVERSITAS GADJAH MADA,3611252,EKONOMI PERTANIAN DAN AGRIBISNIS,64661,1645,62714,68092
UNIVERSITAS SAM RATULANGI,7211015,PENDIDIKAN DOKTER,64602,1731,62711,72861
UNIVERSITAS NEGERI YOGYAKARTA,3621014,PENDIDIKAN MATEMATIKA,64502,1514,62698,6882
UNIVERSITAS PADJADJARAN,3331021,MATEMATIKA,65267,1921,62686,70293
UNIVERSITAS NEGERI JAKARTA,3231155,ILMU KOMPUTER,64891,1889,62675,69304
UNIVERSITAS CENDERAWASIH,9111126,PENDIDIKAN DOKTER,63757,1267,62645,65136
UNIVERSITAS AIRLANGGA,3811134,TEKNOBIOMEDIK,6411,1416,62644,68149
UNIVERSITAS AIRLANGGA,3811157,SISTEM INFORMASI,64602,204,62625,73649
UNIVERSITAS BRAWIJAYA,3721093,ILMU DAN TEKNOLOGI PANGAN,64523,1704,62618,6937
UNIVERSITAS BRAWIJAYA,3721031,TEKNIK SIPIL,64808,1738,6261,69592
INSTITUT TEKNOLOGI BANDUNG,3321146,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS JATINANGOR,66202,2958,62604,72353
UNIVERSITAS BENGKULU,1611194,PENDIDIKAN DOKTER,6432,1368,62595,68384
UNIVERSITAS SEBELAS MARET,3531093,TEKNIK INDUSTRI,64564,1605,62576,69786
UNIVERSITAS GADJAH MADA,3611035,GEOGRAFI LINGKUNGAN,64135,1656,62537,68528
UNIVERSITAS DIPONEGORO,3551244,TEKNIK LINGKUNGAN,64412,1551,6251,70101
UNIVERSITAS BRAWIJAYA,3721062,ARSITEKTUR,64367,1541,62506,71257
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821191,TEKNIK SISTEM PERKAPALAN,64644,1828,62495,71408
UNIVERSITAS GADJAH MADA,3611101,KEDOKTERAN HEWAN,64806,1845,62449,71433
UNIVERSITAS PADJADJARAN,3331172,TEKNIK GEOLOGI,64572,2046,62447,74559
UNIVERSITAS DIPONEGORO,3551043,GIZI,64209,167,6242,7193
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821272,TEKNIK GEOFISIKA,6432,1608,6241,68039
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821144,TEKNIK LINGKUNGAN,648,2068,62403,70478
INSTITUT PERTANIAN BOGOR,3411346,MANAJEMEN,64134,1424,62378,68034
UNIVERSITAS HASANUDDIN,7111196,PENDIDIKAN DOKTER GIGI,64372,1955,62374,71963
UNIVERSITAS DIPONEGORO,3551341,FARMASI,64672,1821,62368,69349
UNIVERSITAS SEBELAS MARET,3531085,ARSITEKTUR,6353,1064,62307,67862
UNIVERSITAS BRAWIJAYA,3721054,TEKNIK ELEKTRO,64026,1969,62305,76924
UNIVERSITAS NEGERI YOGYAKARTA,3621397,STATISTIKA,63796,1335,62297,66392
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821167,PERENCANAAN WILAYAH DAN KOTA,64458,1925,62284,71695
UNIVERSITAS DIPONEGORO,3551302,TEKNOLOGI PANGAN,64088,1495,62284,6868
UNIVERSITAS MALIKUSSALEH,1121113,PENDIDIKAN DOKTER,63618,1126,62249,66704
INSTITUT PERTANIAN BOGOR,3411033,ARSITEKTUR LANSEKAP,64213,1454,62243,68881
INSTITUT PERTANIAN BOGOR,3411122,KIMIA,64341,1911,62215,70226
UNIVERSITAS GADJAH MADA,3611074,ILMU KEPERAWATAN,63924,117,62174,66579
UNIVERSITAS SRIWIJAYA,1711075,PENDIDIKAN DOKTER GIGI,63656,1248,62157,68144
UNIVERSITAS INDONESIA,3211151,ILMU KEPERAWATAN,63792,1562,62133,69972
UNIVERSITAS PADJADJARAN,3331195,GEOFISIKA,63678,1188,62127,6698
UNIVERSITAS NEGERI JAKARTA,3231074,KIMIA,63658,11,62096,67122
UNIVERSITAS DIPONEGORO,3551051,MATEMATIKA,63978,1838,62073,7062
UNIVERSITAS BRAWIJAYA,3721375,TEKNIK KIMIA,63649,1624,62071,69134
UNIVERSITAS GADJAH MADA,3611445,TEKNIK PERTANIAN,63895,1465,6207,68086
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821183,TEKNIK KELAUTAN,64041,1681,62051,70828
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821024,MATEMATIKA,64376,2191,6204,71052
UNIVERSITAS PADJADJARAN,3331222,TEKNIK ELEKTRO,6481,1963,62003,70374
